id,store,title,price,info,search_value,link,image_url
643,Extra,"CARE by PanzerGlass Flagship Case Urban Combat with MagSafe for iPhone 16, Clear\White",129.00,Color: Transparent; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-urban-combat-with-magsafe-for-iphone-16-clear-white/p/100379518,"https://media.extra.com/i/aurora/100379518_100_00/CARE-by-PanzerGlass-Flagship-Case-Urban-Combat-with-MagSafe-for-iPhone-16%2C-Clear%5CWhite?locale=en-GB,en-*,*&img404=edd"
644,Extra,"CARE by PanzerGlass Flagship Case with MagSafe for iPhone 16 Pro, Clear\White",129.00,Color: Transparent; Material: Not Applicable; Case Style: Fashion Line,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-with-magsafe-for-iphone-16-pro-clear-white/p/100379517,"https://media.extra.com/i/aurora/100379517_100_00/CARE-by-PanzerGlass-Flagship-Case-with-MagSafe-for-iPhone-16-Pro%2C-Clear%5CWhite?locale=en-GB,en-*,*&img404=edd"
645,Extra,"SAFE. by PanzerGlass Screen Protector iPhone 16 Pro, Ultra-Wide Fit, Privacy",89.00,Made in: China; Color: PRIVACY; Compatibility: IPHONE 16 PRO MAX,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/safe-by-panzerglass-screen-protector-iphone-16-pro-ultra-wide-fit-privacy/p/100379514,"https://media.extra.com/i/aurora/100379514_100_00/SAFE-by-PanzerGlass-Screen-Protector-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Privacy?locale=en-GB,en-*,*&img404=edd"
646,Extra,PanzerGlass 4-in-1 Protection Bundle iPhone 16 Pro,239.00,Color: Clear; Material: Not Applicable; Made in: China,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/panzerglass-4-in-1-protection-bundle-iphone-16-pro/p/100379513,"https://media.extra.com/i/aurora/100379513_100_00/PanzerGlass-4-in-1-Protection-Bundle-iPhone-16-Pro?locale=en-GB,en-*,*&img404=edd"
647,Extra,"SAFE by PanzerGlass Camera Lens Protector Glitter Silver iPhone 16 Pro, 16 Pro Max",59.00,Made in: China; Compatibility: IPHONE 16 PRO MAX; Brand Name: SAFE by PanzerGlass,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/gadgets/safe-by-panzerglass-camera-lens-protector-glitter-silver-iphone-16-pro-16-pro-max/p/100379511,"https://media.extra.com/i/aurora/100379511_100_00/SAFE-by-PanzerGlass-Camera-Lens-Protector-Glitter-Silver-iPhone-16-Pro%2C-16-Pro-Max?locale=en-GB,en-*,*&img404=edd"
648,Extra,"SAFE by PanzerGlass 2-in-1 Protection Bundle iPhone 16, Clear",99.00,Color: Clear; Material: TPU; Made in: China,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/safe-by-panzerglass-2-in-1-protection-bundle-iphone-16-clear/p/100379507,"https://media.extra.com/i/aurora/100379507_100_00/SAFE-by-PanzerGlass-2-in-1-Protection-Bundle-iPhone-16%2C-Clear?locale=en-GB,en-*,*&img404=edd"
649,Extra,"SAFE by PanzerGlass Screen Protector iPhone 16 Pro, Ultra-Wide Fit, Clear",79.00,Made in: China; Color: Clear; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/safe-by-panzerglass-screen-protector-iphone-16-pro-ultra-wide-fit-clear/p/100379506,"https://media.extra.com/i/aurora/100379506_100_00/SAFE-by-PanzerGlass-Screen-Protector-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Clear?locale=en-GB,en-*,*&img404=edd"
650,Extra,"CARE by PanzerGlass Flagship Case Urban Combat with Blue MagSafe for iPhone 16 Pro, Clear",129.00,Color: Transparent; Material: No; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-urban-combat-with-blue-magsafe-for-iphone-16-pro-clear/p/100379505,"https://media.extra.com/i/aurora/100379505_100_00/CARE-by-PanzerGlass-Flagship-Case-Urban-Combat-with-Blue-MagSafe-for-iPhone-16-Pro%2C-Clear?locale=en-GB,en-*,*&img404=edd"
651,Extra,"SAFE by PanzerGlass Screen Protector iPhone 16, Ultra-Wide Fit, Privacy",89.00,Made in: China; Color: PRIVACY; Compatibility: IPHONE 16 PLUS,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/safe-by-panzerglass-screen-protector-iphone-16-ultra-wide-fit-privacy/p/100379504,"https://media.extra.com/i/aurora/100379504_100_00/SAFE-by-PanzerGlass-Screen-Protector-iPhone-16%2C-Ultra-Wide-Fit%2C-Privacy?locale=en-GB,en-*,*&img404=edd"
652,Extra,"CARE by PanzerGlass Fashionable Case with MagSafe for iPhone 16,",99.00,Color: Black; Material: Not Applicable; Case Style: Leather case,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-fashionable-case-with-magsafe-for-iphone-16-/p/100379503,"https://media.extra.com/i/aurora/100379503_100_00/CARE-by-PanzerGlass-Fashionable-Case-with-MagSafe-for-iPhone-16%2C?locale=en-GB,en-*,*&img404=edd"
